# version=2022
# comment
! line SYNTHETIC EXERCISE DATA — this file describes a fictional asteroid
! line for the IAA PDC 2027 planetary-defense exercise; it is not a real
! line object. "This is only an exercise." (JPL CNEOS)
! line Source: https://cneos.jpl.nasa.gov/pd/cs/pdc27/2026pdc27.epoch1.xml
! line         (Epoch 1 release, 2026-08-01; retrieved 2026-08-13;
! line         SHA256 4a1fccde9c1cb67541e967506c0b9c76ccd724d66799e913e4dfb1cf0d0ef697)
! line Conversion: field-for-field transcription from ADES XML 2022 to
! line ADES PSV. The constant <subFmt>A22</subFmt> field is dropped;
! line every other field is carried verbatim. Generated by
! line convert_pdc27.py, which self-verifies the transcription.
# observatory
! mpcCode 500
! name Geocenter (synthetic geocentric astrometry)
provID|mode|stn|obsTime|ra|dec|rmsRA|rmsDec|astCat|mag|band
2026 PDC27|CCD|500|2026-07-04T00:00:00.000Z|228.569633|2.188308|0.2|0.2|Gaia3|21.7|V
2026 PDC27|CCD|500|2026-07-04T02:24:00.000Z|228.416321|2.135753|0.2|0.2|Gaia3|21.7|V
2026 PDC27|CCD|500|2026-07-05T00:00:00.000Z|227.030767|1.653253|0.2|0.2|Gaia3|21.7|V
2026 PDC27|CCD|500|2026-07-05T02:24:00.000Z|226.876204|1.598606|0.2|0.2|Gaia3|21.7|V
2026 PDC27|CCD|500|2026-07-06T00:00:00.000Z|225.480133|1.097822|0.1|0.1|Gaia3|21.8|V
2026 PDC27|CCD|500|2026-07-06T02:24:00.000Z|225.324488|1.041208|0.1|0.1|Gaia3|21.8|V
2026 PDC27|CCD|500|2026-07-07T00:00:00.000Z|223.919346|0.523311|0.1|0.1|Gaia3|21.8|V
2026 PDC27|CCD|500|2026-07-07T02:24:00.000Z|223.762767|0.464864|0.1|0.1|Gaia3|21.8|V
2026 PDC27|CCD|500|2026-07-08T00:00:00.000Z|222.349950|-0.068875|0.1|0.1|Gaia3|21.8|V
2026 PDC27|CCD|500|2026-07-08T02:24:00.000Z|222.192596|-0.129008|0.1|0.1|Gaia3|21.8|V
2026 PDC27|CCD|500|2026-07-09T00:00:00.000Z|220.773446|-0.677225|0.1|0.1|Gaia3|21.8|V
2026 PDC27|CCD|500|2026-07-09T02:24:00.000Z|220.615458|-0.738889|0.1|0.1|Gaia3|21.8|V
2026 PDC27|CCD|500|2026-07-10T00:00:00.000Z|219.191242|-1.300131|0.1|0.1|Gaia3|21.9|V
2026 PDC27|CCD|500|2026-07-10T02:24:00.000Z|219.032758|-1.363156|0.1|0.1|Gaia3|21.9|V
2026 PDC27|CCD|500|2026-07-11T00:00:00.000Z|217.604654|-1.935889|0.1|0.1|Gaia3|21.9|V
2026 PDC27|CCD|500|2026-07-11T02:24:00.000Z|217.445800|-2.000106|0.1|0.1|Gaia3|21.9|V
2026 PDC27|CCD|500|2026-07-12T00:00:00.000Z|216.014883|-2.582733|0.1|0.1|Gaia3|21.9|V
2026 PDC27|CCD|500|2026-07-12T02:24:00.000Z|215.855771|-2.647958|0.1|0.1|Gaia3|21.9|V
2026 PDC27|CCD|500|2026-07-13T00:00:00.000Z|214.422975|-3.238825|0.1|0.1|Gaia3|22.0|V
2026 PDC27|CCD|500|2026-07-13T02:24:00.000Z|214.263704|-3.304872|0.1|0.1|Gaia3|22.0|V
2026 PDC27|CCD|500|2026-07-14T00:00:00.000Z|212.829825|-3.902272|0.1|0.1|Gaia3|22.0|V
2026 PDC27|CCD|500|2026-07-14T02:24:00.000Z|212.670471|-3.968947|0.1|0.1|Gaia3|22.0|V
2026 PDC27|CCD|500|2026-07-17T00:00:00.000Z|208.049004|-5.917247|0.1|0.1|Gaia3|22.2|V
2026 PDC27|CCD|500|2026-07-17T02:24:00.000Z|207.889688|-5.984631|0.1|0.1|Gaia3|22.2|V
2026 PDC27|CCD|500|2026-07-24T00:00:00.000Z|196.902375|-10.508681|0.2|0.2|Gaia3|22.6|V
2026 PDC27|CCD|500|2026-07-24T02:24:00.000Z|196.743033|-10.570819|0.2|0.2|Gaia3|22.7|V
2026 PDC27|CCD|500|2026-07-31T00:00:00.000Z|185.719979|-14.412408|0.2|0.2|Gaia3|23.3|V
2026 PDC27|CCD|500|2026-07-31T02:24:00.000Z|185.559883|-14.460150|0.2|0.2|Gaia3|23.3|V
